model,infer_samples_per_sec,infer_step_time,infer_batch_size,infer_img_size,infer_gmacs,infer_macts,param_count
vit_tiny_r_s16_p8_224,1882.23,135.988,256,224,0.44,2.06,6.34
simplenetv1_small_m1_075,1516.74,168.762,256,224,0.83,1.56,3.29
simplenetv1_small_m2_075,1260.89,203.01,256,224,1.02,1.79,3.29
simplenetv1_5m_m1,1107.7,231.088,256,224,1.46,2.09,5.75
deit_tiny_patch16_224,991.41,258.198,256,224,1.26,5.97,5.72
resnet18,876.92,291.907,256,224,1.82,2.48,11.69
simplenetv1_5m_m2,835.17,306.502,256,224,1.81,2.39,5.75
crossvit_9_240,602.13,425.137,256,240,1.85,9.52,8.55
vit_base_patch32_224_sam,571.37,448.024,256,224,4.41,5.01,88.22
tinynet_b,530.15,482.86,256,188,0.21,4.44,3.73
resnet26,524.36,488.193,256,224,2.36,7.35,16.0
tf_mobilenetv3_large_075,505.13,506.778,256,224,0.16,4.0,3.99
resnet34,491.96,520.334,256,224,3.67,3.74,21.8
regnetx_006,478.41,535.075,256,224,0.61,3.98,6.2
dla34,472.49,541.773,256,224,3.07,5.02,15.74
simplenetv1_9m_m1,459.21,557.458,256,224,2.96,3.41,9.51
repvgg_b0,455.36,562.169,256,224,3.41,6.15,15.82
ghostnet_100,407.03,628.922,256,224,0.15,3.55,5.18
tf_mobilenetv3_large_minimal_100,406.84,629.211,256,224,0.22,4.4,3.92
mobilenetv3_large_100,402.08,636.663,256,224,0.23,4.41,5.48
simplenetv1_9m_m2,389.94,656.492,256,224,3.74,3.86,9.51
tf_mobilenetv3_large_100,388.3,659.264,256,224,0.23,4.41,5.48
mobilenetv2_100,295.68,865.772,256,224,0.31,6.68,3.5
densenet121,293.94,870.881,256,224,2.87,6.9,7.98
mnasnet_100,262.25,976.131,256,224,0.33,5.46,4.38
vgg11,260.38,983.145,256,224,7.61,7.44,132.86
vgg11_bn,248.92,514.193,128,224,7.62,7.44,132.87
mobilenetv2_110d,230.8,1109.144,256,224,0.45,8.71,4.52
efficientnet_lite0,224.81,1138.729,256,224,0.4,6.74,4.65
tf_efficientnet_lite0,219.93,1163.953,256,224,0.4,6.74,4.65
vgg13,154.03,830.996,128,224,11.31,12.25,133.05
vgg13_bn,144.39,886.483,128,224,11.33,12.25,133.05
vgg16,123.7,1034.687,128,224,15.47,13.56,138.36
vgg16_bn,117.06,1093.467,128,224,15.5,13.56,138.37
vgg19,103.71,1234.193,128,224,19.63,14.86,143.67
vgg19_bn,98.59,1298.317,128,224,19.66,14.86,143.68
