model,infer_samples_per_sec,infer_step_time,infer_batch_size,infer_img_size,infer_gmacs,infer_macts,param_count
simplenetv1_small_m1_075,2893.91,88.444,256,224,0.76,1.49,3.29
simplenetv1_small_m2_075,2478.41,103.276,256,224,0.96,1.71,3.29
vit_tiny_r_s16_p8_224,2337.23,109.515,256,224,0.44,2.06,6.34
simplenetv1_5m_m1,2105.06,121.594,256,224,1.35,1.98,5.75
simplenetv1_5m_m2,1754.25,145.914,256,224,1.69,2.28,5.75
resnet18,1750.38,146.235,256,224,1.82,2.48,11.69
regnetx_006,1620.25,157.982,256,224,0.61,3.98,6.2
mobilenetv3_large_100,1491.86,171.579,256,224,0.23,4.41,5.48
tf_mobilenetv3_large_minimal_100,1476.29,173.391,256,224,0.22,4.4,3.92
tf_mobilenetv3_large_075,1474.77,173.567,256,224,0.16,4.0,3.99
ghostnet_100,1390.19,184.13,256,224,0.15,3.55,5.18
tinynet_b,1345.82,190.2,256,188,0.21,4.44,3.73
tf_mobilenetv3_large_100,1325.06,193.181,256,224,0.23,4.41,5.48
mnasnet_100,1183.69,216.252,256,224,0.33,5.46,4.38
mobilenetv2_100,1101.58,232.375,256,224,0.31,6.68,3.5
simplenetv1_9m_m1,1048.91,244.043,256,224,2.78,3.28,9.51
resnet34,1030.4,248.426,256,224,3.67,3.74,21.8
deit_tiny_patch16_224,990.85,258.344,256,224,1.26,5.97,5.72
efficientnet_lite0,977.76,261.802,256,224,0.4,6.74,4.65
simplenetv1_9m_m2,900.45,284.28,256,224,3.56,3.73,9.51
tf_efficientnet_lite0,876.66,291.999,256,224,0.4,6.74,4.65
dla34,834.35,306.803,256,224,3.07,5.02,15.74
mobilenetv2_110d,824.4,310.505,256,224,0.45,8.71,4.52
resnet26,771.1,331.973,256,224,2.36,7.35,16.0
repvgg_b0,751.01,340.855,256,224,3.41,6.15,15.82
crossvit_9_240,606.2,422.278,256,240,1.85,9.52,8.55
vgg11,576.32,444.176,256,224,7.61,7.44,132.86
vit_base_patch32_224_sam,561.99,455.502,256,224,4.41,5.01,88.22
vgg11_bn,504.29,507.616,256,224,7.62,7.44,132.87
densenet121,435.3,588.073,256,224,2.87,6.9,7.98
vgg13,363.69,703.869,256,224,11.31,12.25,133.05
vgg13_bn,315.85,810.498,256,224,11.33,12.25,133.05
vgg16,302.84,845.295,256,224,15.47,13.56,138.36
vgg16_bn,265.99,962.41,256,224,15.5,13.56,138.37
vgg19,259.82,985.288,256,224,19.63,14.86,143.67
vgg19_bn,229.77,1114.113,256,224,19.66,14.86,143.68
