model,infer_samples_per_sec,infer_step_time,infer_batch_size,infer_img_size,infer_gmacs,infer_macts,param_count
simplenetv1_small_m1_075,2632.69,97.222,256,224,0.76,1.49,3.29
simplenetv1_small_m2_075,2276.71,112.424,256,224,0.96,1.71,3.29
simplenetv1_5m_m1,2122.88,120.574,256,224,1.35,1.98,5.75
vit_tiny_r_s16_p8_224,2114.01,121.08,256,224,0.44,2.06,6.34
simplenetv1_5m_m2,1808.81,141.512,256,224,1.69,2.28,5.75
regnetx_006,1569.23,163.12,256,224,0.61,3.98,6.2
resnet18,1564.65,163.594,256,224,1.82,2.48,11.69
resnet34,975.71,262.351,256,224,3.67,3.74,21.8
tf_mobilenetv3_large_minimal_100,943.92,271.189,256,224,0.22,4.4,3.92
deit_tiny_patch16_224,921.07,277.916,256,224,1.26,5.97,5.72
simplenetv1_9m_m1,915.22,279.692,256,224,2.78,3.28,9.51
resnet26,835.45,306.402,256,224,2.36,7.35,16.0
dla34,815.16,314.023,256,224,3.07,5.02,15.74
simplenetv1_9m_m2,803.52,318.578,256,224,3.56,3.73,9.51
tf_mobilenetv3_large_075,798.98,320.387,256,224,0.16,4.0,3.99
repvgg_b0,772.16,331.514,256,224,3.41,6.15,15.82
ghostnet_100,740.79,345.555,256,224,0.15,3.55,5.18
mobilenetv3_large_100,717.75,356.649,256,224,0.23,4.41,5.48
tf_mobilenetv3_large_100,695.46,368.08,256,224,0.23,4.41,5.48
mobilenetv2_100,624.46,409.93,256,224,0.31,6.68,3.5
tinynet_b,613.99,416.926,256,188,0.21,4.44,3.73
crossvit_9_240,576.43,444.093,256,240,1.85,9.52,8.55
mnasnet_100,522.9,489.551,256,224,0.33,5.46,4.38
vit_base_patch32_224_sam,508.95,502.975,256,224,4.41,5.01,88.22
vgg11,487.59,525.002,256,224,7.61,7.44,132.86
densenet121,461.35,554.857,256,224,2.87,6.9,7.98
vgg11_bn,454.48,563.254,256,224,7.62,7.44,132.87
mobilenetv2_110d,451.89,566.488,256,224,0.45,8.71,4.52
efficientnet_lite0,428.07,598.004,256,224,0.4,6.74,4.65
tf_efficientnet_lite0,414.3,617.891,256,224,0.4,6.74,4.65
vgg13,298.11,858.716,256,224,11.31,12.25,133.05
vgg13_bn,277.48,922.559,256,224,11.33,12.25,133.05
vgg16,254.87,1004.418,256,224,15.47,13.56,138.36
vgg16_bn,238.54,1073.189,256,224,15.5,13.56,138.37
vgg19,224.34,1141.111,256,224,19.63,14.86,143.67
vgg19_bn,212.07,1207.101,256,224,19.66,14.86,143.68
