model,infer_samples_per_sec,infer_step_time,infer_batch_size,infer_img_size,infer_gmacs,infer_macts,param_count
vit_tiny_r_s16_p8_224,1880.84,136.09,256,224,0.44,2.06,6.34
simplenetv1_small_m1_075,1585.06,161.491,256,224,0.76,1.49,3.29
simplenetv1_small_m2_075,1303.45,196.384,256,224,0.96,1.71,3.29
simplenetv1_5m_m1,1182.83,216.412,256,224,1.35,1.98,5.75
deit_tiny_patch16_224,988.98,258.833,256,224,1.26,5.97,5.72
simplenetv1_5m_m2,877.27,291.797,256,224,1.69,2.28,5.75
resnet18,873.32,293.112,256,224,1.82,2.48,11.69
crossvit_9_240,600.23,426.481,256,240,1.85,9.52,8.55
vit_base_patch32_224_sam,568.15,450.56,256,224,4.41,5.01,88.22
tinynet_b,526.6,486.118,256,188,0.21,4.44,3.73
resnet26,525.93,486.735,256,224,2.36,7.35,16.0
tf_mobilenetv3_large_075,501.4,510.547,256,224,0.16,4.0,3.99
resnet34,491.53,520.806,256,224,3.67,3.74,21.8
simplenetv1_9m_m1,479.06,534.361,256,224,2.78,3.28,9.51
regnetx_006,477.32,536.307,256,224,0.61,3.98,6.2
dla34,469.89,544.784,256,224,3.07,5.02,15.74
repvgg_b0,453.58,564.372,256,224,3.41,6.15,15.82
ghostnet_100,405.05,632.006,256,224,0.15,3.55,5.18
simplenetv1_9m_m2,402.67,635.734,256,224,3.56,3.73,9.51
tf_mobilenetv3_large_minimal_100,402.04,636.729,256,224,0.22,4.4,3.92
mobilenetv3_large_100,397.73,643.626,256,224,0.23,4.41,5.48
tf_mobilenetv3_large_100,383.01,668.367,256,224,0.23,4.41,5.48
mobilenetv2_100,293.62,871.86,256,224,0.31,6.68,3.5
densenet121,293.49,872.248,256,224,2.87,6.9,7.98
mnasnet_100,260.29,983.481,256,224,0.33,5.46,4.38
vgg11,259.27,987.367,256,224,7.61,7.44,132.86
vgg11_bn,247.67,516.792,128,224,7.62,7.44,132.87
mobilenetv2_110d,229.73,1114.341,256,224,0.45,8.71,4.52
efficientnet_lite0,223.31,1146.379,256,224,0.4,6.74,4.65
tf_efficientnet_lite0,218.86,1169.677,256,224,0.4,6.74,4.65
vgg13,151.9,842.666,128,224,11.31,12.25,133.05
vgg13_bn,142.62,897.488,128,224,11.33,12.25,133.05
vgg16,122.08,1048.441,128,224,15.47,13.56,138.36
vgg16_bn,115.59,1107.345,128,224,15.5,13.56,138.37
vgg19,101.94,1255.594,128,224,19.63,14.86,143.67
vgg19_bn,97.15,1317.532,128,224,19.66,14.86,143.68
