model,infer_samples_per_sec,infer_step_time,infer_batch_size,infer_img_size,infer_gmacs,infer_macts,param_count,top1,top5
tf_mobilenetv3_large_075,1886.21,135.702,256,224,0.16,4.0,3.99,73.436,91.344
tf_mobilenetv3_large_minimal_100,1881.93,136.013,256,224,0.22,4.4,3.92,72.25,90.63
mobilenetv3_large_100,1803.83,141.903,256,224,0.23,4.41,5.48,75.766,92.544
ghostnet_100,1755.49,145.811,256,224,0.15,3.55,5.18,73.974,91.46
vit_tiny_r_s16_p8_224,1714.73,149.275,256,224,0.44,2.06,6.34,71.792,90.822
simplenetv1_small_m1_075,1673.12,152.99,256,224,0.76,1.49,3.29,67.784,87.718
tf_mobilenetv3_large_100,1667.31,153.523,256,224,0.23,4.41,5.48,75.518,92.604
tinynet_b,1641.46,155.94,256,188,0.21,4.44,3.73,74.976,92.184
mnasnet_100,1596.47,160.336,256,224,0.33,5.46,4.38,74.658,92.112
mobilenetv2_100,1448.74,176.685,256,224,0.31,6.68,3.5,72.97,91.02
regnetx_006,1397.58,183.155,256,224,0.61,3.98,6.2,73.86,91.672
efficientnet_lite0,1388.86,184.304,256,224,0.4,6.74,4.65,75.476,92.512
simplenetv1_small_m2_075,1370.94,186.715,256,224,0.96,1.71,3.29,68.506,88.15
tf_efficientnet_lite0,1282.45,199.598,256,224,0.4,6.74,4.65,74.832,92.174
simplenetv1_5m_m1,1209.19,211.691,256,224,1.35,1.98,5.75,71.548,89.94
mobilenetv2_110d,1076.35,237.818,256,224,0.45,8.71,4.52,75.038,92.184
simplenetv1_5m_m2,991.46,258.183,256,224,1.69,2.28,5.75,72.03,90.324
deit_tiny_patch16_224,910.74,281.068,256,224,1.26,5.97,5.72,72.172,91.114
resnet18,895.29,285.921,256,224,1.82,2.48,11.69,69.744,89.082
simplenetv1_9m_m1,581.86,439.949,256,224,2.78,3.28,9.51,73.792,91.486
resnet26,577.3,443.42,256,224,2.36,7.35,16.0,75.3,92.578
crossvit_9_240,567.44,451.129,256,240,1.85,9.52,8.55,73.96,91.968
vit_base_patch32_224_sam,507.44,504.469,256,224,4.41,5.01,88.22,73.694,91.01
resnet34,506.92,504.984,256,224,3.67,3.74,21.8,75.114,92.284
dla34,504.48,507.429,256,224,3.07,5.02,15.74,74.62,92.072
repvgg_b0,478.63,534.839,256,224,3.41,6.15,15.82,75.16,92.418
simplenetv1_9m_m2,469.88,544.792,256,224,3.56,3.73,9.51,74.23,91.748
densenet121,325.16,787.29,256,224,2.87,6.9,7.98,75.584,92.652
vgg11,251.42,1018.208,256,224,7.61,7.44,132.86,69.028,88.626
vgg11_bn,242.03,1057.697,256,224,7.62,7.44,132.87,70.36,89.802
vgg13,151.36,1691.264,256,224,11.31,12.25,133.05,69.926,89.246
vgg13_bn,145.84,1755.302,256,224,11.33,12.25,133.05,71.594,90.376
vgg16,121.8,2101.758,256,224,15.47,13.56,138.36,71.59,90.382
vgg16_bn,117.74,2174.249,256,224,15.5,13.56,138.37,73.35,91.504
vgg19,101.55,2520.875,256,224,19.63,14.86,143.67,72.366,90.87
vgg19_bn,99.29,2578.373,256,224,19.66,14.86,143.68,74.214,91.848
