model,infer_samples_per_sec,infer_step_time,infer_batch_size,infer_img_size,infer_gmacs,infer_macts,param_count,top1,top5
simplenetv1_small_m1_075,2632.18,97.239,256,224,0.76,1.49,3.29,67.784,87.718
simplenetv1_small_m2_075,2276.86,112.419,256,224,0.96,1.71,3.29,68.506,88.15
simplenetv1_5m_m1,2116.06,120.961,256,224,1.35,1.98,5.75,71.548,89.94
vit_tiny_r_s16_p8_224,2108.54,121.392,256,224,0.44,2.06,6.34,71.792,90.822
simplenetv1_5m_m2,1797.18,142.427,256,224,1.69,2.28,5.75,72.03,90.324
gluon_resnet18_v1b,1567.75,163.273,256,224,1.82,2.48,11.69,70.834,89.762
resnet18,1567.1,163.34,256,224,1.82,2.48,11.69,69.744,89.082
swsl_resnet18,1566.93,163.358,256,224,1.82,2.48,11.69,73.276,91.736
regnetx_006,1566.51,163.402,256,224,0.61,3.98,6.2,73.86,91.672
legacy_seresnet18,1382.54,185.146,256,224,1.82,2.49,11.78,71.742,90.332
resnet18d,1223.24,209.261,256,224,2.06,3.29,11.71,72.25,90.688
resnet34,974.45,262.688,256,224,3.67,3.74,21.8,75.114,92.284
tv_resnet34,973.82,262.862,256,224,3.67,3.74,21.8,73.306,91.424
tf_mobilenetv3_large_minimal_100,937.67,272.998,256,224,0.22,4.4,3.92,72.25,90.63
deit_tiny_patch16_224,919.72,278.323,256,224,1.26,5.97,5.72,72.172,91.114
simplenetv1_9m_m1,907.67,282.018,256,224,2.78,3.28,9.51,73.792,91.486
resnet26,833.07,307.275,256,224,2.36,7.35,16.0,75.3,92.578
dla34,812.46,315.069,256,224,3.07,5.02,15.74,74.62,92.072
tf_mobilenetv3_large_075,808.68,316.543,256,224,0.16,4.0,3.99,73.436,91.344
simplenetv1_9m_m2,796.89,321.227,256,224,3.56,3.73,9.51,74.23,91.748
repvgg_b0,770.01,332.441,256,224,3.41,6.15,15.82,75.16,92.418
ghostnet_100,745.44,343.401,256,224,0.15,3.55,5.18,73.974,91.46
mobilenetv3_rw,723.12,354.002,256,224,0.23,4.41,5.48,75.632,92.708
mobilenetv3_large_100,719.47,355.798,256,224,0.23,4.41,5.48,75.766,92.544
tf_mobilenetv3_large_100,696.09,367.748,256,224,0.23,4.41,5.48,75.518,92.604
resnest14d,640.9,399.416,256,224,2.76,7.33,10.61,75.504,92.52
mobilenetv2_100,625.03,409.555,256,224,0.31,6.68,3.5,72.97,91.02
tinynet_b,608.9,420.41,256,188,0.21,4.44,3.73,74.976,92.184
crossvit_9_240,577.05,443.615,256,240,1.85,9.52,8.55,73.96,91.968
mnasnet_100,519.69,492.582,256,224,0.33,5.46,4.38,74.658,92.112
vit_base_patch32_224_sam,505.92,505.988,256,224,4.41,5.01,88.22,73.694,91.01
vgg11,484.12,528.766,256,224,7.61,7.44,132.86,69.028,88.626
densenet121,461.21,555.044,256,224,2.87,6.9,7.98,75.584,92.652
tv_densenet121,460.78,555.554,256,224,2.87,6.9,7.98,74.744,92.152
vgg11_bn,452.8,565.346,256,224,7.62,7.44,132.87,70.36,89.802
mobilenetv2_110d,450.59,568.122,256,224,0.45,8.71,4.52,75.038,92.184
efficientnet_lite0,424.97,602.375,256,224,0.4,6.74,4.65,75.476,92.512
tf_efficientnet_lite0,412.4,620.741,256,224,0.4,6.74,4.65,74.832,92.174
tf_mixnet_s,345.78,740.328,256,224,0.25,6.25,4.13,75.65,92.628
vgg13,298.06,858.866,256,224,11.31,12.25,133.05,69.926,89.246
vgg13_bn,278.08,920.578,256,224,11.33,12.25,133.05,71.594,90.376
vgg16,254.84,1004.514,256,224,15.47,13.56,138.36,71.59,90.382
vgg16_bn,239.99,1066.689,256,224,15.5,13.56,138.37,73.35,91.504
vgg19,223.66,1144.595,256,224,19.63,14.86,143.67,72.366,90.87
vgg19_bn,210.42,1216.588,256,224,19.66,14.86,143.68,74.214,91.848
mixer_l16_224,45.01,5687.9,256,224,44.6,41.69,208.2,72.054,87.662
