model,infer_samples_per_sec,infer_step_time,infer_batch_size,infer_img_size,infer_gmacs,infer_macts,param_count
mobilenetv3_small_050,6831.41,37.459,256,224,0.03,0.92,1.59
simplenetv1_small_m1_05,5234.21,48.895,256,224,0.34,0.99,1.51
lcnet_050,4932.33,51.888,256,224,0.05,1.26,1.88
mobilenetv3_small_075,4848.13,52.787,256,224,0.05,1.3,2.04
simplenetv1_small_m2_05,4466.09,57.304,256,224,0.43,1.14,1.51
tf_mobilenetv3_small_minimal_100,4451.58,57.491,256,224,0.06,1.41,2.04
mobilenetv3_small_100,4342.72,58.934,256,224,0.06,1.42,2.54
tf_mobilenetv3_small_075,4074.74,62.811,256,224,0.05,1.3,2.04
tf_mobilenetv3_small_100,3695.63,69.256,256,224,0.06,1.42,2.54
mnasnet_small,3113.16,82.215,256,224,0.07,2.16,2.03
simplenetv1_small_m1_075,2898.1,88.317,256,224,0.76,1.49,3.29
simplenetv1_small_m2_075,2481.35,103.153,256,224,0.96,1.71,3.29
mobilenetv2_050,2072.35,123.515,256,224,0.1,3.64,1.97
dla46_c,1325.02,193.182,256,224,0.58,4.5,1.3
dla46x_c,1016.04,251.938,256,224,0.54,5.66,1.07
dla60x_c,937.67,272.996,256,224,0.59,6.01,1.32
