model,infer_samples_per_sec,infer_step_time,infer_batch_size,infer_img_size,infer_gmacs,infer_macts,param_count,top1,top5
simplenetv1_small_m1_05,4644.28,55.104,256,224,0.34,0.99,1.51,61.122,82.988
simplenetv1_small_m2_05,3955.84,64.699,256,224,0.43,1.14,1.51,61.67,83.488
mobilenetv3_small_050,2992.25,85.538,256,224,0.03,0.92,1.59,57.89,80.194
tf_mobilenetv3_small_minimal_100,2945.86,86.884,256,224,0.06,1.41,2.04,62.908,84.234
simplenetv1_small_m1_075,2640.44,96.936,256,224,0.76,1.49,3.29,67.784,87.718
simplenetv1_small_m2_075,2279.1,112.307,256,224,0.96,1.71,3.29,68.506,88.15
lcnet_050,2190.31,116.86,256,224,0.05,1.26,1.88,63.1,84.382
mobilenetv3_small_075,2142.88,119.445,256,224,0.05,1.3,2.04,65.242,85.438
tf_mobilenetv3_small_075,2038.08,125.591,256,224,0.05,1.3,2.04,65.714,86.134
mobilenetv3_small_100,1827.06,140.097,256,224,0.06,1.42,2.54,67.656,87.634
tf_mobilenetv3_small_100,1745.42,146.649,256,224,0.06,1.42,2.54,67.924,87.664
mnasnet_small,1458.86,175.46,256,224,0.07,2.16,2.03,66.206,86.508
dla46_c,1317.72,194.252,256,224,0.58,4.5,1.3,64.866,86.294
mobilenetv2_050,1156.74,221.293,256,224,0.1,3.64,1.97,65.942,86.082
dla46x_c,1046.13,244.689,256,224,0.54,5.66,1.07,65.97,86.98
dla60x_c,965.39,265.154,256,224,0.59,6.01,1.32,67.892,88.426
