model,infer_samples_per_sec,infer_step_time,infer_batch_size,infer_img_size,infer_gmacs,infer_macts,param_count,top1,top5
simplenetv1_small_m1_05,3100.26,82.557,256,224,0.34,0.99,1.51,61.122,82.988
mobilenetv3_small_050,3082.85,83.023,256,224,0.03,0.92,1.59,57.89,80.194
lcnet_050,2713.02,94.345,256,224,0.05,1.26,1.88,63.1,84.382
simplenetv1_small_m2_05,2536.16,100.922,256,224,0.43,1.14,1.51,61.67,83.488
mobilenetv3_small_075,1793.42,142.725,256,224,0.05,1.3,2.04,65.242,85.438
tf_mobilenetv3_small_075,1689.53,151.503,256,224,0.05,1.3,2.04,65.714,86.134
simplenetv1_small_m1_075,1626.87,157.338,256,224,0.76,1.49,3.29,67.784,87.718
tf_mobilenetv3_small_minimal_100,1316.91,194.376,256,224,0.06,1.41,2.04,62.908,84.234
simplenetv1_small_m2_075,1313.6,194.865,256,224,0.96,1.71,3.29,68.506,88.15
mobilenetv3_small_100,1261.09,202.979,256,224,0.06,1.42,2.54,67.656,87.634
tf_mobilenetv3_small_100,1213.03,211.024,256,224,0.06,1.42,2.54,67.924,87.664
mnasnet_small,1089.33,234.985,256,224,0.07,2.16,2.03,66.206,86.508
mobilenetv2_050,857.66,298.465,256,224,0.1,3.64,1.97,65.942,86.082
dla46_c,537.08,476.624,256,224,0.58,4.5,1.3,64.866,86.294
dla46x_c,323.03,792.48,256,224,0.54,5.66,1.07,65.97,86.98
dla60x_c,301.71,848.479,256,224,0.59,6.01,1.32,67.892,88.426
