model,infer_samples_per_sec,infer_step_time,infer_batch_size,infer_img_size,infer_gmacs,infer_macts,param_count
mobilenetv3_small_050,8033.81,31.852,256,224,0.03,0.92,1.59
lcnet_050,7035.41,36.374,256,224,0.05,1.26,1.88
mobilenetv3_small_075,4120.18,62.119,256,224,0.05,1.3,2.04
tf_mobilenetv3_small_minimal_100,3947.26,64.839,256,224,0.06,1.41,2.04
tf_mobilenetv3_small_075,3775.38,67.79,256,224,0.05,1.3,2.04
mobilenetv3_small_100,3746.13,68.32,256,224,0.06,1.42,2.54
mnasnet_small,3642.31,70.27,256,224,0.07,2.16,2.03
tf_mobilenetv3_small_100,3456.23,74.052,256,224,0.06,1.42,2.54
simplenetv1_small_m1_05,3233.74,79.149,256,224,0.34,0.99,1.51
mobilenetv2_050,2660.18,96.217,256,224,0.1,3.64,1.97
simplenetv1_small_m2_05,2648.29,96.65,256,224,0.43,1.14,1.51
simplenetv1_small_m1_075,1690.67,151.4,256,224,0.76,1.49,3.29
simplenetv1_small_m2_075,1373.74,186.333,256,224,0.96,1.71,3.29
dla46_c,1086.03,235.701,256,224,0.58,4.5,1.3
dla46x_c,673.64,380.0,256,224,0.54,5.66,1.07
dla60x_c,637.11,401.793,256,224,0.59,6.01,1.32
