model,infer_samples_per_sec,infer_step_time,infer_batch_size,infer_img_size,infer_gmacs,infer_macts,param_count,top1,top5
mobilenetv3_small_050,8033.81,31.852,256,224,0.03,0.92,1.59,57.89,80.194
lcnet_050,7035.41,36.374,256,224,0.05,1.26,1.88,63.1,84.382
mobilenetv3_small_075,4120.18,62.119,256,224,0.05,1.3,2.04,65.242,85.438
tf_mobilenetv3_small_minimal_100,3947.26,64.839,256,224,0.06,1.41,2.04,62.908,84.234
tf_mobilenetv3_small_075,3775.38,67.79,256,224,0.05,1.3,2.04,65.714,86.134
mobilenetv3_small_100,3746.13,68.32,256,224,0.06,1.42,2.54,67.656,87.634
mnasnet_small,3642.31,70.27,256,224,0.07,2.16,2.03,66.206,86.508
tf_mobilenetv3_small_100,3456.23,74.052,256,224,0.06,1.42,2.54,67.924,87.664
simplenetv1_small_m1_05,3233.74,79.149,256,224,0.34,0.99,1.51,61.122,82.988
mobilenetv2_050,2660.18,96.217,256,224,0.1,3.64,1.97,65.942,86.082
simplenetv1_small_m2_05,2648.29,96.65,256,224,0.43,1.14,1.51,61.67,83.488
simplenetv1_small_m1_075,1690.67,151.4,256,224,0.76,1.49,3.29,67.784,87.718
simplenetv1_small_m2_075,1373.74,186.333,256,224,0.96,1.71,3.29,68.506,88.15
dla46_c,1086.03,235.701,256,224,0.58,4.5,1.3,64.866,86.294
dla46x_c,673.64,380.0,256,224,0.54,5.66,1.07,65.97,86.98
dla60x_c,637.11,401.793,256,224,0.59,6.01,1.32,67.892,88.426
