model,infer_samples_per_sec,infer_step_time,infer_batch_size,infer_img_size,infer_gmacs,infer_macts,param_count,top1,top5
simplenetv1_small_m1_075,3015.68,84.872,256,224,0.76,1.49,3.29,67.784,87.718
simplenetv1_small_m2_075,2571.05,99.553,256,224,0.96,1.71,3.29,68.506,88.15
vit_tiny_r_s16_p8_224,2397.72,106.749,256,224,0.44,2.06,6.34,71.792,90.822
simplenetv1_5m_m1,2168.33,118.046,256,224,1.35,1.98,5.75,71.548,89.94
resnet18,1816.02,140.949,256,224,1.82,2.48,11.69,69.744,89.082
gluon_resnet18_v1b,1815.64,140.977,256,224,1.82,2.48,11.69,70.834,89.762
swsl_resnet18,1811.76,141.279,256,224,1.82,2.48,11.69,73.276,91.736
simplenetv1_5m_m2,1809.69,141.442,256,224,1.69,2.28,5.75,72.03,90.324
regnetx_006,1677.9,152.543,256,224,0.61,3.98,6.2,73.86,91.672
legacy_seresnet18,1635.23,156.534,256,224,1.82,2.49,11.78,71.742,90.332
mobilenetv3_rw,1593.2,160.663,256,224,0.23,4.41,5.48,75.632,92.708
tf_mobilenetv3_large_minimal_100,1565.93,163.462,256,224,0.22,4.4,3.92,72.25,90.63
mobilenetv3_large_100,1561.68,163.905,256,224,0.23,4.41,5.48,75.766,92.544
tf_mobilenetv3_large_075,1550.92,165.044,256,224,0.16,4.0,3.99,73.436,91.344
resnet18d,1468.01,174.367,256,224,2.06,3.29,11.71,72.25,90.688
ghostnet_100,1427.09,179.363,256,224,0.15,3.55,5.18,73.974,91.46
tinynet_b,1408.54,181.729,256,188,0.21,4.44,3.73,74.976,92.184
tf_mobilenetv3_large_100,1400.31,182.798,256,224,0.23,4.41,5.48,75.518,92.604
mnasnet_100,1230.1,208.095,256,224,0.33,5.46,4.38,74.658,92.112
mobilenetv2_100,1158.33,220.99,256,224,0.31,6.68,3.5,72.97,91.02
simplenetv1_9m_m1,1081.83,236.617,256,224,2.78,3.28,9.51,73.792,91.486
tv_resnet34,1064.91,240.375,256,224,3.67,3.74,21.8,73.306,91.424
resnet34,1064.5,240.467,256,224,3.67,3.74,21.8,75.114,92.284
efficientnet_lite0,1019.4,251.109,256,224,0.4,6.74,4.65,75.476,92.512
deit_tiny_patch16_224,1005.5,254.58,256,224,1.26,5.97,5.72,72.172,91.114
simplenetv1_9m_m2,929.32,275.451,256,224,3.56,3.73,9.51,74.23,91.748
tf_efficientnet_lite0,917.64,278.956,256,224,0.4,6.74,4.65,74.832,92.174
dla34,866.16,295.534,256,224,3.07,5.02,15.74,74.62,92.072
mobilenetv2_110d,857.54,298.504,256,224,0.45,8.71,4.52,75.038,92.184
resnet26,805.81,317.67,256,224,2.36,7.35,16.0,75.3,92.578
repvgg_b0,783.85,326.571,256,224,3.41,6.15,15.82,75.16,92.418
tf_mixnet_s,730.79,350.285,256,224,0.25,6.25,4.13,75.65,92.628
resnest14d,702.55,364.364,256,224,2.76,7.33,10.61,75.504,92.52
vgg11,599.11,427.283,256,224,7.61,7.44,132.86,69.028,88.626
crossvit_9_240,598.96,427.375,256,240,1.85,9.52,8.55,73.96,91.968
vgg11_bn,520.62,245.84,128,224,7.62,7.44,132.87,70.36,89.802
vit_base_patch32_224_sam,511.15,500.812,256,224,4.41,5.01,88.22,73.694,91.01
densenet121,458.91,557.824,256,224,2.87,6.9,7.98,75.584,92.652
tv_densenet121,458.62,558.175,256,224,2.87,6.9,7.98,74.744,92.152
vgg13,372.05,344.021,128,224,11.31,12.25,133.05,69.926,89.246
vgg13_bn,325.18,393.611,128,224,11.33,12.25,133.05,71.594,90.376
vgg16,311.8,410.497,128,224,15.47,13.56,138.36,71.59,90.382
vgg16_bn,275.25,465.017,128,224,15.5,13.56,138.37,73.35,91.504
vgg19,268.21,477.217,128,224,19.63,14.86,143.67,72.366,90.87
vgg19_bn,238.66,536.304,128,224,19.66,14.86,143.68,74.214,91.848
mixer_l16_224,57.06,4486.1,256,224,44.6,41.69,208.2,72.054,87.662
