model,infer_samples_per_sec,infer_step_time,infer_batch_size,infer_img_size,infer_gmacs,infer_macts,param_count,top1,top5
vit_tiny_r_s16_p8_224,1877.32,136.345,256,224,0.44,2.06,6.34,71.792,90.822
simplenetv1_small_m1_075,1594.47,160.538,256,224,0.76,1.49,3.29,67.784,87.718
simplenetv1_small_m2_075,1309.8,195.432,256,224,0.96,1.71,3.29,68.506,88.15
simplenetv1_5m_m1,1183.07,216.366,256,224,1.35,1.98,5.75,71.548,89.94
deit_tiny_patch16_224,990.09,258.543,256,224,1.26,5.97,5.72,72.172,91.114
simplenetv1_5m_m2,874.14,292.841,256,224,1.69,2.28,5.75,72.03,90.324
gluon_resnet18_v1b,869.71,294.333,256,224,1.82,2.48,11.69,70.834,89.762
resnet18,868.83,294.63,256,224,1.82,2.48,11.69,69.744,89.082
swsl_resnet18,867.12,295.211,256,224,1.82,2.48,11.69,73.276,91.736
legacy_seresnet18,824.2,310.585,256,224,1.82,2.49,11.78,71.742,90.332
resnet18d,726.14,352.529,256,224,2.06,3.29,11.71,72.25,90.688
crossvit_9_240,599.9,426.715,256,240,1.85,9.52,8.55,73.96,91.968
vit_base_patch32_224_sam,561.79,455.67,256,224,4.41,5.01,88.22,73.694,91.01
resnet26,525.75,486.905,256,224,2.36,7.35,16.0,75.3,92.578
tinynet_b,524.08,488.459,256,188,0.21,4.44,3.73,74.976,92.184
tf_mobilenetv3_large_075,502.02,509.916,256,224,0.16,4.0,3.99,73.436,91.344
resnet34,488.89,523.616,256,224,3.67,3.74,21.8,75.114,92.284
tv_resnet34,488.43,524.11,256,224,3.67,3.74,21.8,73.306,91.424
simplenetv1_9m_m1,479.2,534.208,256,224,2.78,3.28,9.51,73.792,91.486
regnetx_006,474.65,539.322,256,224,0.61,3.98,6.2,73.86,91.672
dla34,467.92,547.08,256,224,3.07,5.02,15.74,74.62,92.072
repvgg_b0,448.3,571.025,256,224,3.41,6.15,15.82,75.16,92.418
resnest14d,409.68,624.857,256,224,2.76,7.33,10.61,75.504,92.52
simplenetv1_9m_m2,403.27,634.792,256,224,3.56,3.73,9.51,74.23,91.748
tf_mobilenetv3_large_minimal_100,403.26,634.803,256,224,0.22,4.4,3.92,72.25,90.63
ghostnet_100,402.84,635.475,256,224,0.15,3.55,5.18,73.974,91.46
mobilenetv3_rw,399.9,640.136,256,224,0.23,4.41,5.48,75.632,92.708
mobilenetv3_large_100,396.06,646.339,256,224,0.23,4.41,5.48,75.766,92.544
tf_mobilenetv3_large_100,386.68,662.035,256,224,0.23,4.41,5.48,75.518,92.604
tf_mixnet_s,364.08,703.125,256,224,0.25,6.25,4.13,75.65,92.628
mobilenetv2_100,293.76,871.448,256,224,0.31,6.68,3.5,72.97,91.02
densenet121,293.16,873.224,256,224,2.87,6.9,7.98,75.584,92.652
tv_densenet121,293.13,873.31,256,224,2.87,6.9,7.98,74.744,92.152
mnasnet_100,260.91,981.151,256,224,0.33,5.46,4.38,74.658,92.112
vgg11,256.9,996.477,256,224,7.61,7.44,132.86,69.028,88.626
vgg11_bn,247.19,517.797,128,224,7.62,7.44,132.87,70.36,89.802
mobilenetv2_110d,226.74,1128.995,256,224,0.45,8.71,4.52,75.038,92.184
efficientnet_lite0,222.74,1149.309,256,224,0.4,6.74,4.65,75.476,92.512
tf_efficientnet_lite0,217.81,1175.295,256,224,0.4,6.74,4.65,74.832,92.174
vgg13,151.2,846.549,128,224,11.31,12.25,133.05,69.926,89.246
vgg13_bn,141.68,903.435,128,224,11.33,12.25,133.05,71.594,90.376
vgg16,121.24,1055.741,128,224,15.47,13.56,138.36,71.59,90.382
vgg16_bn,114.7,1115.975,128,224,15.5,13.56,138.37,73.35,91.504
vgg19,101.45,1261.668,128,224,19.63,14.86,143.67,72.366,90.87
vgg19_bn,96.45,1327.155,128,224,19.66,14.86,143.68,74.214,91.848
mixer_l16_224,61.07,4191.782,256,224,44.6,41.69,208.2,72.054,87.662
